iter	Passed	Remaining
0	1	241
1	8	999
2	16	1232
3	24	1372
4	32	1449
5	32	1229
6	41	1327
7	49	1383
8	58	1428
9	67	1483
10	76	1521
11	87	1582
12	95	1602
13	106	1650
14	116	1665
15	117	1572
16	126	1584
17	135	1597
18	145	1616
19	156	1641
20	166	1652
21	178	1686
22	189	1708
23	200	1720
24	209	1716
25	218	1712
26	227	1709
27	235	1698
28	244	1692
29	252	1686
30	262	1686
31	271	1679
32	279	1667
33	288	1663
34	296	1654
35	305	1646
36	315	1645
37	325	1647
38	334	1637
39	346	1648
40	357	1646
41	366	1641
42	376	1636
43	385	1629
44	397	1633
45	409	1636
46	419	1632
47	428	1623
48	436	1611
49	443	1598
50	453	1591
51	461	1579
52	470	1571
53	480	1564
54	490	1561
55	500	1554
56	508	1542
57	517	1533
58	526	1526
59	535	1516
60	545	1510
61	554	1502
62	563	1494
63	574	1489
64	582	1479
65	596	1482
66	605	1473
67	616	1468
68	626	1460
69	638	1459
70	648	1451
71	661	1450
72	671	1443
73	680	1434
74	688	1423
75	700	1419
76	711	1413
77	720	1403
78	731	1398
79	742	1393
80	753	1385
81	761	1373
82	771	1366
83	780	1356
84	789	1347
85	798	1337
86	807	1328
87	817	1319
88	827	1311
89	837	1302
90	846	1292
91	854	1282
92	863	1272
93	872	1262
94	883	1254
95	893	1246
96	902	1237
97	911	1227
98	922	1220
99	930	1209
100	934	1193
101	944	1185
102	953	1175
103	953	1155
104	963	1146
105	972	1137
106	982	1129
107	994	1122
108	1003	1113
109	1012	1104
110	1021	1095
111	1030	1085
112	1038	1075
113	1046	1065
114	1055	1055
115	1066	1048
116	1076	1039
117	1085	1030
118	1094	1021
119	1102	1010
120	1111	1001
121	1120	991
122	1128	982
123	1137	972
124	1147	963
125	1156	954
126	1167	947
127	1177	938
128	1185	928
129	1195	919
130	1202	908
131	1210	899
132	1220	890
133	1230	881
134	1239	871
135	1248	862
136	1257	853
137	1267	844
138	1277	836
139	1286	827
140	1294	816
141	1303	807
142	1312	798
143	1322	789
144	1331	780
145	1343	772
146	1354	764
147	1363	755
148	1372	745
149	1384	738
150	1393	729
151	1406	721
152	1415	712
153	1425	703
154	1437	695
155	1446	686
156	1456	677
157	1466	668
158	1476	659
159	1486	650
160	1496	641
161	1504	631
162	1515	622
163	1527	614
164	1541	607
165	1553	598
166	1563	589
167	1573	580
168	1583	571
169	1592	562
170	1602	552
171	1614	544
172	1627	536
173	1638	527
174	1648	518
175	1659	509
176	1671	500
177	1680	490
178	1691	481
179	1700	472
180	1708	462
181	1717	452
182	1725	443
183	1735	433
184	1744	424
185	1756	415
186	1766	406
187	1776	396
188	1786	387
189	1795	378
190	1804	368
191	1814	359
192	1826	350
193	1836	340
194	1847	331
195	1856	322
196	1865	312
197	1873	302
198	1882	293
199	1891	283
200	1901	274
201	1913	265
202	1925	256
203	1934	246
204	1944	237
205	1955	227
206	1966	218
207	1976	209
208	1986	199
209	1998	190
210	2007	180
211	2020	171
212	2030	162
213	2039	152
214	2048	142
215	2057	133
216	2069	123
217	2079	114
218	2089	104
219	2097	95
220	2106	85
221	2114	76
222	2123	66
223	2132	57
224	2142	47
225	2150	38
226	2161	28
227	2170	19
228	2178	9
229	2187	0
