rank,player_name,attempts,success_rate,epa_per_attempt
1,BRETT MAHER,16,0.9375,0.042181734955196726
2,JUSTIN TUCKER,240,0.925,0.019414854179047716
3,TRAVIS COONS,36,0.9722222222222222,0.01630312066459362
4,HARRISON BUTKER,54,0.9074074074074074,0.014578667707317272
5,PATRICK MURRAY,47,0.851063829787234,0.013891057344569515
6,BRANDON MCMANUS,131,0.8549618320610687,0.009568197480159739
7,DANIEL CARPENTER,221,0.8506787330316742,0.007443193180032759
8,JOSH LAMBO,95,0.8736842105263158,0.007314260836123665
9,KAI FORBATH,134,0.8880597014925373,0.0048970912553927375
10,JASON MYERS,93,0.8602150537634409,0.003808433411538348
