season,season_type,week,game_date,game_key,play_id,play_sequence,player_id,field_goal_result,attempt_yards,player_name,birthdate,success,distance_squared,is_long_attempt,kicker_attempt_number,age_at_attempt
2010,Reg,4,2010-10-03,54915,3598,141,5205,Made,25,JOHN CARNEY,1964-04-20,1,625,0,1,46.45
2010,Reg,4,2010-10-03,54915,1725,68,5205,Made,32,JOHN CARNEY,1964-04-20,1,1024,0,2,46.45
2010,Reg,4,2010-10-03,54915,2715,106,5205,Made,32,JOHN CARNEY,1964-04-20,1,1024,0,3,46.45
2010,Reg,5,2010-10-10,54934,305,12,5205,Made,31,JOHN CARNEY,1964-04-20,1,961,0,4,46.47
2010,Reg,5,2010-10-10,54934,2036,76,5205,Made,32,JOHN CARNEY,1964-04-20,1,1024,0,5,46.47
2010,Reg,5,2010-10-10,54934,2903,108,5205,Missed,29,JOHN CARNEY,1964-04-20,0,841,0,6,46.47
2010,Reg,2,2010-09-19,54884,1274,51,8392,Made,49,JASON HANSON,1970-06-17,1,2401,0,1,40.26
2010,Reg,3,2010-09-26,54899,1471,55,8392,Missed,44,JASON HANSON,1970-06-17,0,1936,0,2,40.28
2010,Reg,3,2010-09-26,54899,2336,86,8392,Made,33,JASON HANSON,1970-06-17,1,1089,0,3,40.28
2010,Reg,4,2010-10-03,54914,3303,133,8392,Made,24,JASON HANSON,1970-06-17,1,576,0,4,40.3
2010,Reg,4,2010-10-03,54914,2402,96,8392,Made,39,JASON HANSON,1970-06-17,1,1521,0,5,40.3
2010,Reg,4,2010-10-03,54914,2868,115,8392,Made,52,JASON HANSON,1970-06-17,1,2704,1,6,40.3
2010,Reg,4,2010-10-03,54914,3138,126,8392,Made,49,JASON HANSON,1970-06-17,1,2401,0,7,40.3
2010,Reg,4,2010-10-03,54914,1944,78,8392,Missed,55,JASON HANSON,1970-06-17,0,3025,1,8,40.3
2010,Reg,5,2010-10-10,54930,209,8,8392,Made,30,JASON HANSON,1970-06-17,1,900,0,9,40.31
2010,Reg,5,2010-10-10,54930,3583,145,8392,Made,48,JASON HANSON,1970-06-17,1,2304,0,10,40.31
2010,Reg,5,2010-10-10,54930,3883,157,8392,Made,47,JASON HANSON,1970-06-17,1,2209,0,11,40.31
2010,Reg,6,2010-10-17,54943,2020,82,8392,Made,50,JASON HANSON,1970-06-17,1,2500,1,12,40.33
2010,Reg,6,2010-10-17,54943,3737,154,8392,Made,50,JASON HANSON,1970-06-17,1,2500,1,13,40.33
2010,Reg,8,2010-10-31,54829,4343,175,8392,Made,32,JASON HANSON,1970-06-17,1,1024,0,14,40.37
2011,Reg,1,2011-09-11,55172,295,14,8392,Made,23,JASON HANSON,1970-06-17,1,529,0,15,41.23
2011,Reg,1,2011-09-11,55172,841,37,8392,Made,28,JASON HANSON,1970-06-17,1,784,0,16,41.23
2011,Reg,2,2011-09-18,55182,2145,83,8392,Made,28,JASON HANSON,1970-06-17,1,784,0,17,41.25
2011,Reg,2,2011-09-18,55182,1859,74,8392,Made,51,JASON HANSON,1970-06-17,1,2601,1,18,41.25
2011,Reg,3,2011-09-25,55200,4788,181,8392,Made,32,JASON HANSON,1970-06-17,1,1024,0,19,41.27
2011,Reg,3,2011-09-25,55200,3796,147,8392,Made,50,JASON HANSON,1970-06-17,1,2500,1,20,41.27
2011,Reg,3,2011-09-25,55200,4037,157,8392,Made,40,JASON HANSON,1970-06-17,1,1600,0,21,41.27
2011,Reg,3,2011-09-25,55200,3021,116,8392,Made,28,JASON HANSON,1970-06-17,1,784,0,22,41.27
2011,Reg,4,2011-10-02,55215,1815,71,8392,Made,33,JASON HANSON,1970-06-17,1,1089,0,23,41.29
2011,Reg,4,2011-10-02,55215,4198,161,8392,Made,51,JASON HANSON,1970-06-17,1,2601,1,24,41.29
2011,Reg,5,2011-10-10,55240,3737,148,8392,Made,31,JASON HANSON,1970-06-17,1,961,0,25,41.31
2011,Reg,6,2011-10-16,55243,337,14,8392,Made,25,JASON HANSON,1970-06-17,1,625,0,26,41.33
2011,Reg,6,2011-10-16,55243,2217,90,8392,Missed,52,JASON HANSON,1970-06-17,0,2704,1,27,41.33
2011,Reg,6,2011-10-16,55243,2633,107,8392,Made,24,JASON HANSON,1970-06-17,1,576,0,28,41.33
2011,Reg,7,2011-10-23,55256,314,13,8392,Made,43,JASON HANSON,1970-06-17,1,1849,0,29,41.35
2011,Reg,7,2011-10-23,55256,1372,54,8392,Made,38,JASON HANSON,1970-06-17,1,1444,0,30,41.35
2011,Reg,7,2011-10-23,55256,2554,104,8392,Made,29,JASON HANSON,1970-06-17,1,841,0,31,41.35
2011,Reg,8,2011-10-30,55274,992,41,8392,Made,50,JASON HANSON,1970-06-17,1,2500,1,32,41.37
2011,Reg,10,2011-11-13,55297,2219,84,8392,Made,35,JASON HANSON,1970-06-17,1,1225,0,33,41.41
2011,Reg,10,2011-11-13,55297,1578,57,8392,Made,29,JASON HANSON,1970-06-17,1,841,0,34,41.41
2011,Reg,12,2011-11-24,55324,1880,73,8392,Missed,47,JASON HANSON,1970-06-17,0,2209,0,35,41.44
2011,Reg,13,2011-12-04,55346,1871,95,8392,Made,31,JASON HANSON,1970-06-17,1,961,0,36,41.46
2011,Reg,13,2011-12-04,55346,2507,83,8392,Blocked,42,JASON HANSON,1970-06-17,0,1764,0,37,41.46
2011,Reg,13,2011-12-04,55346,3088,125,8392,Missed,55,JASON HANSON,1970-06-17,0,3025,1,38,41.46
2011,Reg,14,2011-12-11,55360,2129,87,8392,Made,30,JASON HANSON,1970-06-17,1,900,0,39,41.48
2011,Reg,14,2011-12-11,55360,3446,137,8392,Made,26,JASON HANSON,1970-06-17,1,676,0,40,41.48
2011,Reg,16,2011-12-24,55399,807,33,8392,Made,50,JASON HANSON,1970-06-17,1,2500,1,41,41.52
2011,Reg,17,2012-01-01,55407,2024,79,8392,Made,30,JASON HANSON,1970-06-17,1,900,0,42,41.54
2011,Reg,17,2012-01-01,55407,2434,96,8392,Missed,39,JASON HANSON,1970-06-17,0,1521,0,43,41.54
2012,Reg,1,2012-09-09,55507,1704,69,8392,Made,41,JASON HANSON,1970-06-17,1,1681,0,44,42.23
2012,Reg,1,2012-09-09,55507,2025,83,8392,Made,45,JASON HANSON,1970-06-17,1,2025,0,45,42.23
2012,Reg,2,2012-09-16,55534,3172,125,8392,Made,48,JASON HANSON,1970-06-17,1,2304,0,46,42.25
2012,Reg,2,2012-09-16,55534,2632,103,8392,Made,40,JASON HANSON,1970-06-17,1,1600,0,47,42.25
2012,Reg,2,2012-09-16,55534,532,21,8392,Made,38,JASON HANSON,1970-06-17,1,1444,0,48,42.25
2012,Reg,2,2012-09-16,55534,674,26,8392,Made,41,JASON HANSON,1970-06-17,1,1681,0,49,42.25
2012,Reg,2,2012-09-16,55534,1805,70,8392,Missed,40,JASON HANSON,1970-06-17,0,1600,0,50,42.25
2012,Reg,3,2012-09-23,55544,3215,130,8392,Made,26,JASON HANSON,1970-06-17,1,676,0,51,42.27
2012,Reg,3,2012-09-23,55544,249,10,8392,Made,47,JASON HANSON,1970-06-17,1,2209,0,52,42.27
2012,Reg,3,2012-09-23,55544,560,23,8392,Made,53,JASON HANSON,1970-06-17,1,2809,1,53,42.27
2012,Reg,3,2012-09-23,55544,1523,63,8392,Made,33,JASON HANSON,1970-06-17,1,1089,0,54,42.27
2012,Reg,4,2012-09-30,55555,191,8,8392,Made,40,JASON HANSON,1970-06-17,1,1600,0,55,42.29
2012,Reg,4,2012-09-30,55555,1664,70,8392,Made,31,JASON HANSON,1970-06-17,1,961,0,56,42.29
2012,Reg,6,2012-10-14,55587,316,14,8392,Made,46,JASON HANSON,1970-06-17,1,2116,0,57,42.33
2012,Reg,6,2012-10-14,55587,764,34,8392,Made,34,JASON HANSON,1970-06-17,1,1156,0,58,42.33
2012,Reg,6,2012-10-14,55587,4841,198,8392,Made,19,JASON HANSON,1970-06-17,1,361,0,59,42.33
2012,Reg,6,2012-10-14,55587,5167,210,8392,Made,45,JASON HANSON,1970-06-17,1,2025,0,60,42.33
2012,Reg,9,2012-11-04,55628,2950,115,8392,Made,42,JASON HANSON,1970-06-17,1,1764,0,61,42.38
2012,Reg,9,2012-11-04,55628,633,25,8392,Missed,47,JASON HANSON,1970-06-17,0,2209,0,62,42.38
2012,Reg,10,2012-11-11,55641,1232,48,8392,Made,41,JASON HANSON,1970-06-17,1,1681,0,63,42.4
2012,Reg,11,2012-11-18,55654,3763,146,8392,Made,27,JASON HANSON,1970-06-17,1,729,0,64,42.42
2012,Reg,11,2012-11-18,55654,811,33,8392,Made,30,JASON HANSON,1970-06-17,1,900,0,65,42.42
2012,Reg,12,2012-11-22,55664,5207,207,8392,Missed,47,JASON HANSON,1970-06-17,0,2209,0,66,42.43
