rank,player_name,attempts,success_rate,epa_per_attempt
1,BRETT MAHER,16,0.9375,0.2798422435869491
2,JUSTIN TUCKER,240,0.925,0.13818170925807605
3,HARRISON BUTKER,54,0.9074074074074074,0.11628697066096051
4,TRAVIS COONS,36,0.9722222222222222,0.11402230790982114
5,NICK ROSE,12,0.9166666666666666,0.0734514626448739
6,STEVEN HAUSCHKA,255,0.9254901960784314,0.06937995102731584
7,MATT BRYANT,262,0.9122137404580153,0.060348744377882436
8,WIL LUTZ,81,0.8765432098765432,0.05770354621604705
9,PATRICK MURRAY,47,0.851063829787234,0.042094630975619225
10,DAN BAILEY,219,0.8812785388127854,0.04163351254902594
