season,season_type,week,game_date,game_key,play_id,play_sequence,player_id,field_goal_result,attempt_yards
2018,Reg,6,10/14/2018,57654,3083,122,40125,Made,56
2018,Reg,6,10/14/2018,57647,3504,137,41953,Made,24
2018,Reg,6,10/14/2018,57654,3602,144,40125,Made,29
2018,Reg,6,10/14/2018,57652,3531,143,41175,Made,45
2018,Reg,6,10/14/2018,57658,4018,170,30932,Made,28
2018,Reg,6,10/14/2018,57648,3890,156,46342,Made,44
2018,Reg,6,10/14/2018,57658,2378,102,30932,Made,24
2018,Reg,6,10/14/2018,57652,3811,153,41175,Made,37
2018,Reg,6,10/14/2018,57658,3176,135,30932,Made,39
2018,Reg,6,10/14/2018,57652,4146,166,41175,Made,45
2018,Reg,6,10/14/2018,57658,3738,159,30932,Made,50
2018,Reg,6,10/14/2018,57652,1919,78,41175,Made,48
2018,Reg,6,10/14/2018,57658,593,26,30932,Made,48
2018,Reg,6,10/14/2018,57652,1222,52,21213,Made,31
2018,Reg,6,10/14/2018,57654,2653,106,35102,Made,32
2018,Reg,6,10/14/2018,57652,1030,44,21213,Made,21
2018,Reg,6,10/15/2018,57659,2087,83,30403,Made,46
2018,Reg,6,10/15/2018,57659,2489,101,30403,Made,44
2018,Reg,6,10/15/2018,57659,2891,119,30403,Made,43
2018,Reg,6,10/15/2018,57659,3987,164,32386,Made,27
2018,Reg,6,10/15/2018,57659,524,21,32386,Made,29
2018,Reg,6,10/15/2018,57659,1518,60,32386,Made,39
2018,Reg,6,10/15/2018,57659,2277,91,32386,Made,51
