rank,player_name,attempts,success_rate,epa_per_attempt
1,BRETT MAHER,16,0.9375,0.8242784251166017
2,TRAVIS COONS,36,0.9722222222222222,0.7917336750056568
3,NICK ROSE,12,0.9166666666666666,0.7085514888578149
4,JUSTIN TUCKER,240,0.925,0.6911407190813613
5,STEVEN HAUSCHKA,255,0.9254901960784314,0.6815135675682686
6,HARRISON BUTKER,54,0.9074074074074074,0.675461187738611
7,MATT BRYANT,262,0.9122137404580153,0.662733427981101
8,ROBBIE GOULD,227,0.8986784140969163,0.6335201620948429
9,JOSH BROWN,170,0.8941176470588236,0.6272633217634197
10,CHRIS BOSWELL,116,0.9051724137931034,0.6248020625028572
