rank,player_name,attempts,success_rate,epa_per_attempt
1,BRETT MAHER,16,0.9375,0.22823827267420216
2,JUSTIN TUCKER,240,0.925,0.16690004162520955
3,TRAVIS COONS,36,0.9722222222222222,0.14795967119767478
4,NICK ROSE,12,0.9166666666666666,0.08633083951370062
5,STEVEN HAUSCHKA,255,0.9254901960784314,0.07665600533010367
6,HARRISON BUTKER,54,0.9074074074074074,0.07181075142243719
7,PATRICK MURRAY,47,0.851063829787234,0.06794212766943145
8,JOSH BROWN,170,0.8941176470588236,0.0611403391462214
9,MATT BRYANT,262,0.9122137404580153,0.05911097376079946
10,CHRIS BOSWELL,116,0.9051724137931034,0.051036344032518256
